CampaignID,CampaignName,StartDate,EndDate,Channel,Impressions,Clicks,Conversions,Spend,ConversionValue
1,network,2024-05-30,2024-10-06,Email,5100,2748,383,46878.46,8672.16
2,turn,2024-08-20,2024-02-10,Social Media,17415,5770,1423,15800.95,9967.01
3,collection,2024-04-12,2024-05-08,TV,76568,54625,13346,7472.72,6736.06
4,beautiful,2024-02-14,2024-06-27,TV,45863,26974,10001,22506.84,807.44
5,similar,2024-07-29,2024-08-28,Social Media,22267,13012,5206,21169.83,6149.92
6,indeed,2024-01-31,2024-08-26,TV,73759,60079,15899,8297.78,6353.71
7,where,2024-05-22,2024-03-11,Social Media,2497,775,249,49655.91,6552.16
8,five,2024-07-06,2024-08-07,Email,23200,8642,3275,40984.32,7403.52
9,tell,2024-05-05,2024-10-05,TV,19274,9994,3700,36657.51,757.58
10,less,2024-09-30,2024-03-10,Email,69762,54656,6276,23678.92,1112.58
11,know,2024-04-04,2024-05-25,Social Media,86608,50022,18321,42224.62,4770.46
12,forward,2024-09-20,2024-03-18,Social Media,43060,30226,10661,26490.44,9572.73
13,many,2024-07-17,2024-02-21,Social Media,17811,4078,646,31255.5,3366.54
14,almost,2024-04-27,2024-09-23,Social Media,96011,53306,7476,14993.78,4721.32
15,stock,2024-02-26,2024-04-03,TV,39715,32171,9864,48033.05,6448.26
16,certain,2024-01-30,2024-02-12,Email,47314,33595,15030,42189.32,3938.52
17,action,2024-04-08,2024-01-22,Social Media,69053,56803,12244,43122.15,2216.35
18,federal,2024-05-29,2024-07-26,Social Media,21858,17496,5207,7052.55,5537.19
19,establish,2024-06-03,2024-05-16,Email,36611,7817,3732,9694.4,7673.18
20,even,2024-06-03,2024-02-28,Email,15710,10885,1368,37542.76,6837.62
21,quickly,2024-07-24,2024-02-04,Social Media,30664,12827,3999,24264.51,8628.79
22,fill,2024-05-11,2024-05-18,TV,1202,607,215,48082.88,5979.53
23,wind,2024-01-12,2024-05-28,Social Media,46251,19008,4916,37826.07,4988.21
24,land,2024-06-03,2024-08-19,TV,38932,16138,6832,18050.4,2110.22
25,once,2024-02-16,2024-05-23,Email,14581,12867,1938,6637.41,9100.47
26,both,2024-04-26,2024-04-18,TV,29468,17695,7984,37705.43,7350.26
27,turn,2024-09-22,2024-06-02,TV,42089,16062,1802,48714.96,1158.06
28,live,2024-04-13,2024-02-23,Email,56247,14996,5227,36199.06,8689.13
29,level,2024-07-28,2024-01-21,Social Media,83837,51457,17611,36261.17,789.9
30,idea,2024-07-06,2024-08-23,Email,17496,13966,3348,27603.42,4619.27
31,end,2024-05-09,2024-08-26,Email,74666,55458,14786,44576.43,3410.48
32,no,2024-06-30,2024-09-23,Social Media,90613,79303,9353,47618.83,9029.88
33,paper,2024-08-01,2024-06-30,Social Media,16560,13296,5144,20727.05,8192.3
34,total,2024-07-17,2024-09-29,Social Media,5585,2868,1350,4643.61,1664.93
35,north,2024-01-01,2024-04-08,Email,5065,4263,1455,20250.07,2845.59
36,around,2024-05-27,2024-01-28,Social Media,54180,37143,6108,12147.87,754.06
37,debate,2024-04-27,2024-04-25,Social Media,85940,24114,7338,16722.98,4581.76
38,significant,2024-08-23,2024-06-11,TV,37409,11982,5614,22713.27,8571.83
39,interview,2024-02-26,2024-01-30,Email,74243,20573,2153,3168.9,1334.38
40,she,2024-02-18,2024-05-10,Social Media,80964,55048,9395,47050.93,8839.11
41,old,2024-04-28,2024-05-23,TV,2836,1358,207,11081.04,5303.8
42,foot,2024-08-29,2024-07-20,TV,56680,46758,6324,40358.52,6127.87
43,ability,2024-01-08,2024-05-03,Email,66218,23836,11132,8157.55,1707.55
44,force,2024-03-20,2024-02-11,TV,63687,13824,6743,16892.8,4277.72
45,drug,2024-04-21,2024-10-06,Email,79080,51872,22677,8958.27,2618.48
46,including,2024-09-17,2024-04-17,TV,34040,12162,4395,17774.43,8585.94
47,strong,2024-02-06,2024-05-03,Social Media,26784,16893,7023,39738.3,106.64
48,deep,2024-04-13,2024-04-16,Social Media,30038,22714,4109,12037.93,9308.59
49,cup,2024-05-07,2024-09-24,TV,8756,2355,656,43736.07,8479.55
50,nothing,2024-05-21,2024-04-14,Email,36299,26952,12108,39007.27,9161.53
51,question,2024-03-22,2024-05-22,TV,40877,17013,3532,35537.05,3974.4
52,machine,2024-03-17,2024-01-07,Social Media,1367,309,83,13482.17,4586.59
53,professional,2024-09-23,2024-05-06,Social Media,38500,8582,3101,29198.52,2618.32
54,young,2024-03-24,2024-05-25,Email,24443,6485,2331,28777.6,1778.9
55,bit,2024-02-13,2024-02-01,Email,99216,19987,8156,14406.15,5071.08
56,no,2024-04-13,2024-06-12,Email,53207,31406,6123,11801.79,1647.53
57,attention,2024-09-17,2024-04-29,Social Media,24628,8705,1266,32722.38,6998.13
58,win,2024-04-08,2024-02-06,Email,22826,17362,7597,14859.86,4391.3
59,property,2024-03-14,2024-10-03,Social Media,82267,35940,6502,20199.1,7870.52
60,truth,2024-08-10,2024-09-02,Social Media,48486,10882,2382,7596.97,5953.22
61,better,2024-10-03,2024-03-10,Social Media,45320,30629,13039,34001.17,6756.08
62,already,2024-08-05,2024-06-18,Social Media,95023,24853,11353,16991.87,1879.65
63,rest,2024-03-15,2024-05-12,TV,94385,20589,2971,34759.51,2206.89
64,still,2024-02-18,2024-07-26,Social Media,87779,34455,14398,41451.39,6512.48
65,though,2024-05-27,2024-05-22,Social Media,75761,60891,13569,21490.75,9612.63
66,produce,2024-09-14,2024-01-25,Social Media,35914,9811,1576,23167.92,9157.31
67,white,2024-08-22,2024-01-27,Social Media,80122,60529,7970,29758.8,6945.82
68,brother,2024-06-06,2024-06-18,TV,27204,20834,6072,10670.41,299.69
69,visit,2024-04-15,2024-03-24,TV,66386,52109,19639,26914.34,5241.84
70,night,2024-08-23,2024-02-07,TV,28807,9018,1054,4129.06,233.52
71,talk,2024-02-05,2024-03-02,Email,58590,25620,7014,1032.79,9694.75
72,beat,2024-08-02,2024-09-03,Social Media,60027,12936,3403,46798.86,8329.46
73,our,2024-06-10,2024-03-16,TV,64407,21067,3178,11722.06,4546.22
74,occur,2024-06-01,2024-06-06,Social Media,14059,5839,1626,23727.51,9594.3
75,professional,2024-01-15,2024-05-09,Social Media,38850,20700,4396,14469.44,3252.31
76,able,2024-02-24,2024-07-16,TV,44456,17064,5055,35639.19,3397.41
77,Congress,2024-08-13,2024-07-28,TV,25169,12944,1342,29944.25,1988.03
78,thing,2024-03-19,2024-03-02,TV,72836,35482,14474,36379.43,3168.49
79,suffer,2024-05-17,2024-08-07,TV,91534,56009,24237,11236.48,3475.13
80,door,2024-08-28,2024-01-06,TV,55622,49198,7423,4617.88,8449.27
81,skill,2024-02-28,2024-08-05,TV,86188,72290,13456,40894.86,424.27
82,range,2024-02-02,2024-07-17,Social Media,99738,82990,39905,8899.4,8270.3
83,position,2024-05-19,2024-05-14,TV,59493,14239,7015,41683.41,2546.96
84,front,2024-02-29,2024-09-05,Social Media,15084,7840,2478,40407.28,7967.27
85,husband,2024-04-06,2024-06-15,TV,41539,15289,4449,28719.59,978.3
86,black,2024-05-02,2024-07-13,Social Media,11353,5864,2412,16389.27,4851.18
87,because,2024-03-05,2024-04-26,Social Media,87508,41598,17411,35450.11,589.31
88,Democrat,2024-06-19,2024-01-25,Social Media,14498,11458,3839,13067.47,8091.25
89,lay,2024-10-03,2024-03-09,TV,29546,26358,3978,37319.23,4122.97
90,environment,2024-09-13,2024-04-17,Social Media,1963,922,437,15753.93,9215.15
91,right,2024-01-15,2024-03-07,TV,67891,42354,19692,46217.16,9582.55
92,quality,2024-09-09,2024-08-01,Social Media,81511,30061,9507,3703.9,116.75
93,how,2024-08-26,2024-02-03,Email,43130,9609,1165,49605.6,9629.52
94,stuff,2024-06-03,2024-05-31,Email,58294,33813,12816,26383.93,7979.64
95,benefit,2024-04-14,2024-09-16,Social Media,55142,20674,5977,31376.73,5858.49
96,skill,2024-07-05,2024-02-04,Email,28122,9958,4414,20764.98,2233.29
97,southern,2024-04-28,2024-06-06,Social Media,50957,41111,16955,25629.01,5534.53
98,check,2024-09-21,2024-09-16,Email,65640,28342,10134,30234.78,438.7
99,fund,2024-03-26,2024-07-15,Social Media,24658,16311,6024,19213.01,1638.31
100,value,2024-09-28,2024-05-06,Email,19097,8864,3082,28160.02,8808.25
101,business,2024-09-02,2024-09-25,TV,53079,21566,4196,4230.12,1941.55
102,hour,2024-08-06,2024-04-16,TV,78296,17558,8420,7705.79,3196.84
103,back,2024-03-23,2024-10-04,Email,17369,4035,883,36266.82,4160.81
104,lawyer,2024-02-04,2024-09-03,TV,13542,9378,3185,14173.64,1466.48
105,road,2024-09-03,2024-08-20,Email,5907,2792,323,5205.43,7786.37
106,toward,2024-09-27,2024-03-31,TV,9951,6480,895,41387.7,5128.34
107,page,2024-08-23,2024-03-16,Email,24200,17309,5851,11706.5,1883.98
108,happen,2024-07-27,2024-02-29,Email,50414,35611,5903,19050.14,9670.76
109,your,2024-04-27,2024-01-19,Email,30424,15180,7292,10516.66,4825.94
110,reflect,2024-08-25,2024-01-25,Social Media,92761,53227,20770,13954.79,1358.64
111,though,2024-05-21,2024-09-22,Email,79157,30255,14488,29108.05,5293.68
112,car,2024-02-26,2024-04-08,TV,53126,28404,7635,43728.45,7363.68
113,prepare,2024-06-29,2024-08-24,Social Media,48702,24441,2820,38194.55,3657.57
114,really,2024-05-03,2024-02-13,Email,65559,18208,3023,4537.78,1726.39
115,despite,2024-05-30,2024-02-20,Email,19121,15774,5258,26854.07,3887.28
116,material,2024-01-06,2024-02-12,TV,46980,14921,3622,15046.32,3494.91
117,career,2024-01-19,2024-09-19,TV,17961,15673,4188,36169.74,3042.01
118,group,2024-01-28,2024-03-17,Social Media,60827,13465,5072,49938.25,5329.17
119,ten,2024-05-25,2024-08-14,Email,34983,17769,3009,18529.36,8238.54
120,the,2024-09-27,2024-07-17,Social Media,99467,79092,30658,12266.86,3888.41
121,director,2024-07-23,2024-08-12,Email,72087,39143,6638,14020.94,110.3
122,particularly,2024-02-26,2024-05-27,Email,1204,507,71,15626.43,4013.04
123,trip,2024-04-30,2024-06-30,TV,90847,19541,2173,41467.32,6496.61
124,bill,2024-04-16,2024-08-20,Social Media,16433,13224,2722,37775.44,7469.79
125,weight,2024-03-22,2024-09-25,TV,16598,12468,3935,49890.06,8386.42
126,movie,2024-03-29,2024-10-04,TV,47845,10889,3168,4142.22,9689.17
127,house,2024-07-04,2024-01-05,TV,39179,16660,2567,25411.6,3265.95
128,find,2024-07-01,2024-04-18,TV,42163,37357,5848,26781.77,5485.05
129,final,2024-07-07,2024-09-27,Social Media,95487,85421,40672,40435.36,1327.87
130,minute,2024-01-22,2024-04-11,TV,18211,13468,4395,2332.24,3461.0
131,behavior,2024-02-01,2024-03-24,Email,18130,6963,1109,8826.99,755.63
132,paper,2024-09-23,2024-04-07,Email,98932,72839,17271,9280.81,3612.42
133,away,2024-09-29,2024-05-26,Social Media,63562,39576,9279,22678.55,8356.89
134,cultural,2024-09-04,2024-04-24,Email,63387,44336,20144,1876.21,8073.11
135,ground,2024-06-24,2024-04-10,Email,13511,6440,1517,14012.21,8016.91
136,experience,2024-09-18,2024-04-04,Email,19310,15583,5498,33947.4,3512.07
137,special,2024-01-05,2024-05-03,Email,63916,35664,4794,40369.7,9997.59
138,movement,2024-05-17,2024-01-04,Email,86817,61367,15923,27555.55,7150.84
139,quality,2024-03-09,2024-06-03,TV,77208,62077,11462,34193.68,9008.5
140,bit,2024-03-05,2024-01-10,Email,24997,6750,1356,28623.74,974.94
141,same,2024-08-21,2024-06-03,TV,14664,3810,1105,37575.0,1970.08
142,western,2024-08-17,2024-08-29,Email,76726,55618,6439,40981.08,1542.48
143,position,2024-02-12,2024-02-22,TV,2868,1939,326,44743.33,4305.51
144,yet,2024-01-08,2024-07-13,Email,87378,22595,10300,29061.62,8023.05
145,tonight,2024-09-16,2024-05-30,Email,98965,27162,7814,4047.4,1550.12
146,before,2024-02-17,2024-07-05,Social Media,60813,46148,15259,4933.56,4520.99
147,believe,2024-01-02,2024-07-19,Email,98639,72617,14975,17132.96,3880.75
148,policy,2024-07-01,2024-07-14,Social Media,37700,21027,5864,42110.35,7819.28
149,data,2024-08-08,2024-02-07,Email,56116,36599,17457,22508.67,1945.68
150,nice,2024-10-06,2024-03-15,Email,22715,11173,3192,41947.96,8485.92
151,some,2024-07-27,2024-03-27,TV,79860,37131,12003,25350.38,1378.56
152,leader,2024-03-26,2024-09-29,Email,68247,53542,26256,34797.58,9603.56
153,television,2024-07-08,2024-08-03,Social Media,44432,38885,18609,19348.2,3348.43
154,such,2024-01-15,2024-01-27,Social Media,45046,29852,4664,19401.39,8804.09
155,shake,2024-07-25,2024-07-30,Social Media,87980,77113,15519,3320.52,4996.44
156,world,2024-01-27,2024-02-17,Social Media,62629,24241,7546,10323.68,9449.39
157,test,2024-05-31,2024-09-25,Social Media,41953,27219,12292,3857.91,1475.95
158,lose,2024-01-23,2024-05-11,TV,11926,4111,681,36331.51,5042.93
159,mean,2024-03-18,2024-02-11,Email,98292,70846,11632,36740.79,7358.36
160,property,2024-01-01,2024-04-17,Social Media,99536,87620,17025,37466.76,1221.91
161,really,2024-01-07,2024-07-11,Email,71433,36951,7190,7411.09,1721.05
162,young,2024-07-02,2024-03-12,Email,89610,42943,15873,18465.31,3802.21
163,admit,2024-10-05,2024-03-05,Email,61377,33260,11844,16738.52,2861.52
164,establish,2024-03-01,2024-03-30,TV,53570,26384,7972,48663.27,759.28
165,management,2024-07-05,2024-01-31,Email,18595,13488,3619,39339.41,7335.32
166,major,2024-05-13,2024-02-17,Social Media,24082,17867,3428,38348.56,2011.44
167,simple,2024-09-19,2024-09-22,Social Media,30721,13470,6210,30904.3,9929.52
168,from,2024-06-10,2024-05-02,TV,27640,22232,3026,28696.11,8909.89
169,suffer,2024-04-27,2024-02-21,TV,17408,4640,2074,23208.92,3993.52
170,road,2024-09-25,2024-04-08,Email,46743,25883,4883,36261.36,1419.19
171,threat,2024-03-05,2024-06-24,Social Media,2079,1351,180,2269.89,3705.08
172,standard,2024-03-31,2024-07-13,TV,95990,56076,26339,31176.51,2287.8
173,her,2024-08-07,2024-04-30,Email,58482,38804,14446,40071.75,5005.94
174,I,2024-04-17,2024-07-14,Email,87756,66821,18821,4524.34,9790.95
175,art,2024-07-27,2024-04-27,Social Media,74138,18374,4988,40464.32,7858.84
176,challenge,2024-10-06,2024-02-04,TV,26666,18994,2958,47385.12,4071.3
177,southern,2024-01-15,2024-08-03,Email,32104,7607,841,26878.68,7356.09
178,debate,2024-05-27,2024-07-30,TV,62824,36254,8088,44887.91,1037.61
179,it,2024-07-18,2024-05-08,Social Media,87901,43815,17704,43400.73,3884.87
180,read,2024-09-02,2024-06-10,Email,68607,50354,6212,13945.89,733.94
181,involve,2024-08-18,2024-05-16,TV,58353,15273,6590,5449.03,6453.49
182,could,2024-05-23,2024-04-17,Social Media,12305,9849,2699,21291.61,9634.95
183,toward,2024-08-07,2024-08-19,TV,7377,3373,366,38496.27,1205.59
184,truth,2024-04-10,2024-08-28,Email,43486,32667,4760,12563.15,4699.55
185,have,2024-04-08,2024-01-05,Email,29854,14574,2568,20130.96,496.56
186,live,2024-05-08,2024-02-26,Email,63697,18382,3677,32196.64,6765.25
187,be,2024-09-28,2024-07-24,TV,63151,33925,12605,26550.53,4316.9
188,big,2024-06-05,2024-09-18,TV,41586,16424,5403,1070.65,8781.63
189,budget,2024-04-05,2024-05-22,Email,82044,44956,9111,25549.22,5961.64
190,service,2024-05-09,2024-08-10,TV,21234,16716,6972,46832.6,9597.44
191,appear,2024-05-26,2024-04-21,Email,90152,18212,8807,9261.47,3383.06
192,not,2024-09-27,2024-05-23,TV,60516,19845,8195,30084.21,5943.12
193,term,2024-05-08,2024-09-07,Social Media,19295,14352,6433,1531.27,429.74
194,perform,2024-04-12,2024-07-29,Social Media,60297,23504,3074,29067.1,2614.95
195,PM,2024-02-12,2024-08-01,Social Media,21299,6987,1769,40331.32,8144.12
196,hope,2024-08-05,2024-09-12,Social Media,80839,30029,5315,43082.72,9895.29
197,past,2024-05-28,2024-08-12,Email,22224,18963,2333,1977.96,8613.52
198,old,2024-05-01,2024-05-14,Social Media,84161,16867,3489,39137.16,4382.92
199,skill,2024-09-25,2024-09-11,Social Media,95474,59258,20783,22687.98,5804.13
200,recognize,2024-06-20,2024-03-03,TV,15984,8810,3635,36549.29,907.65
201,rate,2024-06-25,2024-07-02,Email,16804,11014,3318,3666.03,3737.99
202,amount,2024-05-30,2024-03-08,TV,76297,39561,16152,40532.67,5764.34
203,so,2024-05-03,2024-08-09,Email,11209,6302,1019,15100.73,1833.07
204,role,2024-03-13,2024-09-02,TV,25740,11171,3024,28473.91,3521.36
205,both,2024-04-22,2024-05-22,Social Media,45905,18308,8944,18519.44,3180.29
206,example,2024-02-28,2024-07-19,TV,31773,21841,3099,17556.42,6767.36
207,tell,2024-05-24,2024-05-31,TV,59194,23263,11501,31517.62,7222.88
208,expect,2024-04-28,2024-08-30,Email,76878,59172,9043,20445.46,5844.91
209,four,2024-07-28,2024-07-27,TV,97618,60941,8133,16548.01,6643.08
210,poor,2024-08-19,2024-01-16,TV,83390,30835,13343,1244.55,7010.85
211,information,2024-06-25,2024-09-08,Email,63015,16507,5103,24378.63,5568.18
212,increase,2024-04-29,2024-09-17,Email,42844,17585,3645,14785.45,9986.01
213,wear,2024-05-06,2024-04-03,TV,50772,12454,2214,20464.65,657.32
214,great,2024-07-16,2024-01-18,Email,36238,29796,13864,22889.39,223.97
215,ball,2024-05-11,2024-03-05,Social Media,4354,3311,1242,37242.87,4429.87
216,effort,2024-04-28,2024-05-21,Social Media,34720,16262,6252,1805.78,8007.63
217,word,2024-02-03,2024-06-19,TV,7429,5004,515,40455.56,9447.77
218,son,2024-01-11,2024-01-28,Social Media,10584,8453,2018,8904.57,4646.66
219,gas,2024-03-01,2024-07-27,Email,62914,39720,9779,21429.03,7350.48
220,nearly,2024-06-20,2024-03-17,Social Media,50306,16890,5926,32306.29,1227.05
221,trip,2024-02-24,2024-10-05,TV,20446,17258,7838,19369.28,8121.6
222,present,2024-06-11,2024-10-04,Email,62335,17669,8421,23875.9,9103.73
223,hot,2024-08-10,2024-08-09,Social Media,54034,23306,10032,48859.39,9931.14
224,risk,2024-07-06,2024-02-14,TV,42709,31491,5049,46767.71,7528.16
225,soon,2024-08-02,2024-10-04,TV,49350,16903,4078,3411.84,8622.23
226,star,2024-08-22,2024-04-15,Social Media,45130,38087,15260,48367.68,617.87
227,audience,2024-01-14,2024-07-15,Email,57155,16218,3442,24930.73,5462.35
228,campaign,2024-07-07,2024-07-17,Email,95736,32068,9132,33891.7,7895.21
229,particular,2024-09-30,2024-07-24,Email,88535,32487,12890,26484.37,5173.56
230,right,2024-09-30,2024-01-09,TV,36974,10612,5115,49198.16,1085.27
231,part,2024-04-12,2024-09-15,Email,10311,9216,1846,30858.98,3901.64
232,example,2024-01-02,2024-03-24,TV,74055,20405,6537,5851.91,1955.79
233,bit,2024-03-28,2024-07-21,TV,77411,29414,8214,1896.1,2751.66
234,many,2024-06-21,2024-09-14,TV,7784,5768,660,36749.07,2082.19
235,different,2024-06-27,2024-06-27,Email,7224,1633,306,29852.17,111.13
236,scene,2024-08-21,2024-09-28,Social Media,84888,30730,4439,36083.53,3257.39
237,of,2024-05-13,2024-05-21,Social Media,55686,36934,14412,31536.52,3345.03
238,local,2024-07-28,2024-05-27,Social Media,22378,12273,3723,48773.06,8695.94
239,child,2024-03-19,2024-06-26,TV,71947,24186,3875,15288.6,9474.87
240,interest,2024-07-30,2024-10-05,Email,32901,13489,3878,35354.4,6503.6
241,view,2024-05-23,2024-07-07,Email,54172,45119,20141,48458.33,9347.27
242,detail,2024-04-28,2024-04-11,Social Media,4751,1695,500,28512.07,6631.74
243,room,2024-08-16,2024-06-06,TV,43121,36972,9588,28963.38,2330.61
244,society,2024-01-06,2024-09-28,TV,67898,58658,16560,1878.52,4792.54
245,exactly,2024-04-06,2024-09-08,Email,92843,58409,21245,40375.17,4318.01
246,approach,2024-08-31,2024-04-09,Social Media,84855,72108,21932,47194.25,1298.98
247,attorney,2024-09-01,2024-06-06,TV,55266,37732,4276,44014.63,5437.92
248,any,2024-10-07,2024-03-03,Email,56203,41787,14067,9615.9,8501.27
249,building,2024-05-27,2024-04-12,Email,41311,17032,5254,38246.83,687.59
250,catch,2024-04-28,2024-06-09,Social Media,56554,37166,10587,10922.0,5746.72
251,through,2024-03-08,2024-01-17,Social Media,79493,38259,17196,12854.63,5139.02
252,under,2024-04-17,2024-04-20,Social Media,33244,27222,6176,13987.99,1155.53
253,hundred,2024-02-14,2024-08-19,Email,4695,4013,1716,2487.53,8594.42
254,check,2024-02-16,2024-08-09,TV,53170,18224,2661,23985.61,7849.97
255,itself,2024-09-29,2024-04-24,TV,92012,42685,10669,47707.41,4383.8
256,green,2024-04-14,2024-03-12,TV,6105,4999,2485,14993.89,2027.22
257,field,2024-02-19,2024-05-21,TV,92473,53496,11493,43465.1,4508.0
258,last,2024-05-07,2024-08-22,TV,23289,19235,9370,1661.57,9826.68
259,tree,2024-09-10,2024-09-27,Social Media,93246,51006,19166,43061.7,9612.89
260,realize,2024-01-10,2024-01-04,Social Media,36228,13150,3363,47089.69,3810.53
261,themselves,2024-09-26,2024-02-03,Social Media,8084,3791,1862,34923.47,4999.3
262,either,2024-02-13,2024-02-29,Email,70721,59094,9821,22737.08,4945.86
263,serious,2024-03-11,2024-08-18,Email,13404,8778,3069,8578.44,7247.41
264,through,2024-05-29,2024-08-02,Social Media,52284,15862,4741,43740.22,3590.22
265,book,2024-05-05,2024-06-24,Email,36965,32337,7549,19987.53,8167.19
266,may,2024-09-04,2024-04-16,TV,92649,70247,11171,43348.1,7325.57
267,standard,2024-04-24,2024-06-28,TV,48068,26213,4602,46422.06,130.4
268,focus,2024-05-15,2024-07-29,TV,65294,29384,10139,34174.41,5909.94
269,more,2024-06-03,2024-04-21,TV,24534,13822,3969,33224.16,5844.89
270,successful,2024-03-24,2024-05-13,TV,32585,19901,7102,37327.58,7533.95
271,thought,2024-03-19,2024-06-12,Social Media,27815,18662,8795,37101.15,8076.36
272,hold,2024-09-02,2024-01-10,TV,64411,45547,13289,26956.53,8753.91
273,power,2024-06-23,2024-04-19,Email,16367,7844,1344,42226.32,8867.33
274,maybe,2024-08-17,2024-07-08,Social Media,44557,38335,15344,30232.6,3433.43
275,let,2024-06-14,2024-01-21,Social Media,5383,4555,694,19537.53,8760.32
276,time,2024-03-08,2024-08-31,TV,11610,3357,409,3442.91,1480.97
277,parent,2024-07-07,2024-09-10,Social Media,85450,68106,28054,47892.43,1400.88
278,sport,2024-05-02,2024-10-04,Social Media,57272,20097,8124,38429.85,4840.56
279,some,2024-05-20,2024-03-20,Email,63924,19284,9195,40233.58,610.98
280,win,2024-06-02,2024-07-31,Email,46215,35226,17006,5478.74,3798.85
281,almost,2024-06-19,2024-03-28,Email,74180,40872,4935,30027.95,4986.78
282,create,2024-03-23,2024-03-26,TV,68372,30312,14036,48927.12,7846.38
283,represent,2024-07-24,2024-05-24,TV,29509,22621,4446,3876.99,8368.63
284,interesting,2024-08-27,2024-02-09,Social Media,87952,27271,4402,25687.45,9546.16
285,weight,2024-01-07,2024-04-03,Email,34326,14177,3844,44089.17,6287.86
286,improve,2024-07-17,2024-02-09,Email,88971,64347,21780,5752.99,5115.62
287,note,2024-08-27,2024-02-14,Social Media,97060,51905,14575,6933.1,392.06
288,catch,2024-02-06,2024-09-07,Email,41018,8496,4129,40494.09,4907.22
289,very,2024-06-15,2024-02-06,Social Media,75076,29250,3338,9138.42,7116.02
290,book,2024-06-14,2024-09-08,TV,84880,57045,19407,27138.6,6214.69
291,couple,2024-06-07,2024-02-17,Social Media,37014,23259,2944,46850.71,1896.21
292,fill,2024-02-23,2024-09-04,TV,46581,21487,3843,27041.19,7633.68
293,fear,2024-09-09,2024-06-13,Social Media,51802,29211,6269,24305.13,4635.9
294,figure,2024-01-26,2024-06-06,Email,7081,4160,841,5468.96,7608.31
295,anyone,2024-03-17,2024-05-16,TV,76782,55616,6635,23643.87,9827.88
296,region,2024-03-13,2024-04-03,Social Media,65297,48156,13785,20748.64,2594.6
297,ground,2024-07-20,2024-07-03,Social Media,24935,11484,3514,12211.67,4689.09
298,commercial,2024-06-26,2024-07-22,TV,41372,28988,12966,16425.79,1011.68
299,station,2024-05-22,2024-06-29,TV,40610,29802,9372,25190.1,3066.7
300,star,2024-09-03,2024-02-02,Social Media,72864,43794,13703,29948.15,1387.84
